Id,Title,Year,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,SciFi,IMAX,Documentary,War,Musical,Western,FilmNoir,NoGenresListed,Popularity,VoteAverage,VoteCount,Runtime,Revenue,Language
862,Toy Story (1995),1995,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.66,7.97,17352.0,81.0,394400000.0,True
8844,Jumanji (1995),1995,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.791,7.24,9938.0,104.0,262821940.0,True
15602,Grumpier Old Men (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.909,6.494,353.0,101.0,71500000.0,True
31357,Waiting to Exhale (1995),1995,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.111,6.182,143.0,127.0,81452156.0,True
11862,Father of the Bride Part II (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.891,6.24,672.0,106.0,76594107.0,True
949,Heat (1995),1995,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,57.005,7.911,6669.0,170.0,187436818.0,True
11860,Sabrina (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.975,6.161,562.0,127.0,53672080.0,True
45325,Tom and Huck (1995),1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.515,5.222,171.0,97.0,23920048.0,True
9091,Sudden Death (1995),1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.713,5.969,648.0,110.0,64350171.0,True
710,GoldenEye (1995),1995,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,43.768,6.88,3586.0,130.0,352194034.0,True
9087,"American President, The (1995)",1995,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.033,6.568,647.0,114.0,107879496.0,True
12110,Dracula: Dead and Loving It (1995),1995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.519,6.039,895.0,88.0,10772144.0,True
21032,Balto (1995),1995,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.961,7.292,1898.0,78.0,11348324.0,True
10858,Nixon (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.871,6.913,321.0,192.0,13681765.0,True
1408,Cutthroat Island (1995),1995,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.627,5.756,491.0,124.0,10017322.0,True
524,Casino (1995),1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,39.49,8.012,5340.0,179.0,116112375.0,True
4584,Sense and Sensibility (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.905,7.439,1549.0,136.0,134582776.0,True
5,Four Rooms (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.223,5.79,2467.0,98.0,4257354.0,True
9273,Ace Ventura: When Nature Calls (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.553,6.303,3829.0,90.0,212385533.0,True
11517,Money Train (1995),1995,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,22.294,5.837,695.0,110.0,77224232.0,True
