movieId,title,Year,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Western,Film-Noir,(no genres listed),popularity,vote_average,vote_count,runtime,revenue,language
1,Toy Story (1995),1995,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.66,7.97,17352.0,81.0,394400000.0,True
2,Jumanji (1995),1995,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.791,7.24,9938.0,104.0,262821940.0,True
3,Grumpier Old Men (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.909,6.494,353.0,101.0,71500000.0,True
4,Waiting to Exhale (1995),1995,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.111,6.182,143.0,127.0,81452156.0,True
5,Father of the Bride Part II (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.891,6.24,672.0,106.0,76594107.0,True
6,Heat (1995),1995,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,57.005,7.911,6669.0,170.0,187436818.0,True
7,Sabrina (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.975,6.161,562.0,127.0,53672080.0,True
8,Tom and Huck (1995),1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.515,5.222,171.0,97.0,23920048.0,True
9,Sudden Death (1995),1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.713,5.969,648.0,110.0,64350171.0,True
10,GoldenEye (1995),1995,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,43.768,6.88,3586.0,130.0,352194034.0,True
11,"American President, The (1995)",1995,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.033,6.568,647.0,114.0,107879496.0,True
12,Dracula: Dead and Loving It (1995),1995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.519,6.039,895.0,88.0,10772144.0,True
13,Balto (1995),1995,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.961,7.292,1898.0,78.0,11348324.0,True
14,Nixon (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.871,6.913,321.0,192.0,13681765.0,True
15,Cutthroat Island (1995),1995,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.627,5.756,491.0,124.0,10017322.0,True
16,Casino (1995),1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,39.49,8.012,5340.0,179.0,116112375.0,True
17,Sense and Sensibility (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.905,7.439,1549.0,136.0,134582776.0,True
18,Four Rooms (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.223,5.79,2467.0,98.0,4257354.0,True
19,Ace Ventura: When Nature Calls (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.553,6.303,3829.0,90.0,212385533.0,True
20,Money Train (1995),1995,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,22.294,5.837,695.0,110.0,77224232.0,True
21,Get Shorty (1995),1995,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.484,6.46,930.0,105.0,115101622.0,True
22,Copycat (1995),1995,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,17.807,6.501,862.0,124.0,32000000.0,True
23,Assassins (1995),1995,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,37.971,6.469,1438.0,132.0,30303072.0,True
24,Powder (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,40.822,6.917,579.0,111.0,30900000.0,True
25,Leaving Las Vegas (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.805,7.264,1304.0,111.0,49800000.0,True
26,Othello (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.839,6.5,125.0,123.0,0.0,True
27,Now and Then (1995),1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.566,6.895,390.0,100.0,27400000.0,True
28,Persuasion (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.323,7.064,119.0,107.0,0.0,True
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,20.461,7.282,988.0,108.0,1738611.0,False
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15.638,6.773,77.0,108.0,0.0,False
31,Dangerous Minds (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.701,6.971,1057.0,99.0,179519401.0,True
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,45.617,7.6,7792.0,129.0,168841459.0,True
33,Wings of Courage (1995),1995,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.13,6.889,18.0,50.0,0.0,False
34,Babe (1995),1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.234,6.191,2684.0,91.0,254134910.0,True
35,Carrington (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.214,6.208,61.0,121.0,0.0,True
36,Dead Man Walking (1995),1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17.482,7.341,1245.0,122.0,39363635.0,True
37,Across the Sea of Time (1995),1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.771,5.0,4.0,51.0,16015639.0,True
38,It Takes Two (1995),1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.531,6.465,821.0,101.0,19474589.0,True
39,Clueless (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.096,7.271,4077.0,97.0,56631572.0,True
40,"Cry, the Beloved Country (1995)",1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.383,6.7,21.0,106.0,676525.0,True
41,Richard III (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14.004,6.7,156.0,104.0,2748518.0,True
42,Dead Presidents (1995),1995,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,14.356,6.663,265.0,119.0,24100000.0,True
43,Restoration (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.383,6.1,102.0,117.0,4005941.0,True
44,Mortal Kombat (1995),1995,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.279,5.839,2104.0,101.0,122195920.0,True
45,To Die For (1995),1995,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15.473,6.6,708.0,106.0,21284514.0,True
46,How to Make an American Quilt (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.492,6.4,168.0,116.0,41200020.0,True
47,Seven (a.k.a. Se7en) (1995),1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,70.321,8.37,19691.0,127.0,327311859.0,True
48,Pocahontas (1995),1995,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,51.629,6.928,5352.0,81.0,346100000.0,True
49,When Night Is Falling (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.353,6.234,64.0,96.0,0.0,True
50,"Usual Suspects, The (1995)",1995,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,46.78,8.192,9733.0,106.0,23341568.0,True
51,Guardian Angel (1994),1994,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6.017,4.85,10.0,93.0,0.0,True
52,Mighty Aphrodite (1995),1995,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.594,6.722,603.0,95.0,6700000.0,True
53,Lamerica (1994),1994,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.164,7.2,52.0,112.0,0.0,False
54,"Big Green, The (1995)",1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.586,5.497,173.0,100.0,0.0,True
